created_date,created_num,converted_num,converted_run_total,created_run_total,converted_rate,log_of_converted_rate,converted_run_total_log,created_run_total_log,converted_rate_log
2020-02-23,5269,57,4370,43148,10.127931769722814,2.3152971285824075,8.382518288089635,10.67239134549532,78.5439553022743
2020-03-01,4262,79,4449,47410,9.384096182240034,2.239016360897969,8.400434630806041,10.766588455896164,78.02317944274786
2020-03-08,1068,67,4516,48478,9.315565823672594,2.2316867454908356,8.415381925269553,10.788865365766808,78.00062045422918
2020-03-15,1424,79,4595,49902,9.208047773636327,2.2200778596811364,8.432724034789787,10.817816361096742,77.95218326237932
2020-03-22,3596,94,4689,53498,8.764813637893006,2.1707452560699183,8.452974619089586,10.887399549007759,77.639978041037
2020-03-29,2028,52,4741,55526,8.53834239815582,2.14456689038431,8.464003362902119,10.9246066585059,77.47650444066144
2020-04-05,2308,77,4818,57834,8.330739703288723,2.1199522521508847,8.480114183174816,10.965332117012023,77.3356802391644
2020-04-12,769,65,4883,58603,8.332337934918007,2.120144081255794,8.49351506406166,10.978541168793958,77.36469657921509
2020-04-19,630,64,4947,59233,8.35176337514561,2.1224726992190157,8.506536611227709,10.989234097996784,77.40791155571394
2020-04-26,991,163,5110,60224,8.484989373007439,2.13829864624079,8.53895468319775,11.005826222945052,77.58576694038341
2020-05-03,4868,88,5198,65092,7.985620352731519,2.0776424684090222,8.556029215201436,11.083556932780505,77.19569870116601
2020-05-10,740,64,5262,65832,7.993073277433467,2.0785753263027806,8.568266461600238,11.09486132128555,77.22734168080113
2020-05-17,986,67,5329,66818,7.975395851417283,2.076361283980408,8.580918882296782,11.109727784304466,77.23788601210985
2020-05-24,1461,53,5382,68279,7.882365002416556,2.0646279860508487,8.590815331286851,11.131357531224094,77.17670829626238
2020-05-31,5124,122,5504,73403,7.498331130880209,2.014680479899294,8.61323037961318,11.203720085701978,76.87830750614036
2020-06-07,1290,49,5553,74693,7.434431606710134,2.006122128665672,8.622093601241607,11.221141658564028,76.83793560044032
2020-06-14,1721,109,5662,76414,7.409636977517209,2.002781447219537,8.641532465671846,11.243921204440399,76.8551496275087
2020-06-21,2373,240,5902,78787,7.491083554393492,2.013713453874104,8.683046555502886,11.274503287616872,77.0148922218129
2020-06-28,3650,105,6007,82437,7.28677656877373,1.9860612765978856,8.700680734850161,11.319789644240368,76.86256554490977
2020-07-05,4609,100,6107,87046,7.0158307101992055,1.948169125673754,8.717190933223135,11.374191993537472,76.64008958329542
2020-07-12,1398,124,6231,88444,7.045135905205554,1.9523374361802668,8.737292112544221,11.390124862352046,76.70936199675674
2020-07-19,1872,122,6353,90316,7.034191062491696,1.9507826963914063,8.756682421266532,11.411069910863219,76.73848718541512
2020-07-26,1851,113,6466,92167,7.015526164462335,1.9481257163670649,8.774312958285378,11.431357427906406,76.75652706707771
2020-08-02,6599,99,6565,98766,6.647024279610393,1.894169277769848,8.789507786736896,11.50050869495514,76.42712178977385
2020-08-09,1818,63,6628,100584,6.58951721943848,1.8854800862615277,8.799058378546453,11.518748478273016,76.38901392059634
2020-08-16,1045,98,6726,101629,6.618189689950703,1.8898218718191906,8.813735892300215,11.529084206469115,76.44784038748469
2020-08-23,870,57,6783,102499,6.617625537810125,1.889736625518723,8.82217476094608,11.537608321415448,76.46450213230817
